Baker,Gender,Age,Occupation,Hometown,Round_1_Technical,Round_1,Round_2_Technical,Round_2_Handshake,Round_2,Round_3_Technical,Round_3,Round_4_Technical,Round_4,Round_5_Technical,Round_5,Round_6_Technical,Round_6_Handshake,Round_6,Round_7_Technical,Round_7,Round_8_Technical,Round_8,Round_9_Technical,Round_9,Round_10_Technical,Round_10,Technicals,Handshakes,Star_Bakers
Syabira,F,32,Cardiovascular research associate,London,1,HIGH,10,,HIGH,5,HIGH,2,SAFE,8,LOW,1,Signature,SB,6,SB,4,SB,1,HIGH,2,WINNER,3,1,3
Abdul,M,29,Electronics engineer,London,6,SAFE,11,,SAFE,NA,SAFE*,6,SAFE,2,SAFE,7,,SAFE,4,SAFE,3,HIGH,2,SB,1,Runner-up,1,0,1
Sandro,M,30,Nanny,London,2,HIGH,3,,SAFE,4,HIGH,3,HIGH,4,SB,4,,SAFE,1,HIGH,1,LOW,4,LOW,3,Runner-up,2,0,1
Janusz,M,34,Personal assistant to head teacher,East Sussex,7,SB,6,,SAFE,1,SB,7,HIGH,1,HIGH,2,,SAFE,5,LOW,2,SAFE,3,OUT,,,2,0,2
Maxy,F,29,Architectural assistant,London,10,SAFE,5,Signature,SB,2,SAFE,1,SB,3,SAFE,6,Signature,SAFE,2,SAFE,5,OUT,,,,,1,2,2
Kevin,M,33,Music teacher,Lanarkshire,4,SAFE,8,,SAFE,7,LOW,4,SAFE,5,SAFE,3,,LOW,3,OUT,,,,,,,0,0,0
Dawn,F,60,IT manager,Bedfordshire,3,SAFE,9,Signature,SAFE,6,LOW,5,HIGH,7,LOW,5,,OUT,,,,,,,,,0,1,0
Carole,F,59,Supermarket cashier,Dorset,8,SAFE,4,,LOW,8,LOW,10,LOW,6,OUT,,,,,,,,,,,,0,0,0
James,M,25,Nuclear scientist,Cumbria,12,SAFE,2,,HIGH,3,SAFE,8,OUT,,,,,,,,,,,,,,0,0,0
Rebs,F,23,Masters student,County Antrim,11,LOW,1,,LOW,NA,SAFE*,9,OUT,,,,,,,,,,,,,,1,0,0
Maisam,F,18,Student and sales assistant,Greater Manchester,5,LOW,7,,OUT,,,,,,,,,,,,,,,,,,0,0,0
Will,M,45,Former charity director,London,9,OUT,,,,,,,,,,,,,,,,,,,,,0,0,0
