Baker,Gender,Age,Occupation,Hometown,Round_1_Technical,Round_1,Round_2_Technical,Round_2_Handshake,Round_2,Round_3_Technical,Round_3,Round_4_Technical,Round_4_Handshake,Round_4,Round_5_Technical,Round_5,Round_6_Technical,Round_6,Round_7_Technical,Round_7,Round_8_Technical,Round_8,Round_9_Technical,Round_9,Round_10_Technical,Round_10_Handshake,Round_10,Technicals,Handshakes,Star_Bakers
Candice,F,31,PE teacher,"Barton-Le-Clay, Bedfordshire",5th,LOW,8,,SB,3,LOW,2,,SAFE,2,SB,5,HIGH,2,SAFE,1,SB,3,HIGH,2,Signature,WINNER,1,1,3
Andrew,M,25,Aerospace engineer,"Derby / Holywood, County Down",12th,SAFE,4,,HIGH,2,HIGH,4,,HIGH,6,SAFE,6,LOW,1,SB,2,SAFE,2,SB,1,,Runner-up,2,0,2
Jane,F,61,Garden designer,Beckenham,7th,SB,2,,SAFE,9,SAFE,3,,SAFE,1,HIGH,4,SAFE,4,SAFE,5,HIGH,1,LOW,3,Signature,Runner-up,2,1,1
Selasi,M,30,Client service associate,London,1st,HIGH,11,,SAFE,5,SAFE,8,Signature,SAFE,3,SAFE,7,HIGH,6,LOW,3,LOW,4,OUT,,,,1,1,0
Benjamina,F,23,Teaching assistant,South London,6th,HIGH,3,,SAFE,6,SAFE,1,,SB,5,SAFE,2,SAFE,3,HIGH,4,OUT,,,,,,1,0,1
Tom,M,26,Project engagement manager,Rochdale,2nd,SAFE,7,Signature,SAFE,4,SB,5,,LOW,4,LOW,1,SB,5,OUT,,,,,,,,1,1,2
Rav,M,28,Student support,Erith,8th,SAFE,6,,SAFE,10,SAFE,9,,LOW,8,SAFE,3,OUT,,,,,,,,,,0,0,0
Val,F,66,"Semi-retired, Substitute teacher",Yeovil,10th,LOW,5,,LOW,1,LOW,6,,SAFE,7,OUT,,,,,,,,,,,,1,0,0
Kate,F,37,Nurse,"Brooke, Norfolk",4th,SAFE,1,,SAFE,8,HIGH,7,,OUT,,,,,,,,,,,,,,1,0,0
Michael,M,20,Student,Durham,3rd,SAFE,9,,SAFE,7,OUT,,,,,,,,,,,,,,,,,0,0,0
Louise,F,46,Hairdresser,Cardiff,9th,SAFE,10,,OUT,,,,,,,,,,,,,,,,,,,0,0,0
Lee,M,67,Pastor,Bolton,11th,OUT,,,,,,,,,,,,,,,,,,,,,,0,0,0
