Baker,Gender,Age,Occupation,Hometown,Round_1_Technical,Round_1,Round_2_Technical,Round_2_Handshake,Round_2,Round_3_Technical,Round_3_Handshake,Round_3,Round_4_Technical,Round_4_Handshake,Round_4,Round_5_Technical,Round_5_Handshake,Round_5,Round_6_Technical,Round_6_Handshake,Round_6,Round_7_Technical,Round_7_Handshake,Round_7,Round_8_Technical,Round_8,Round_9_Technical,Round_9,Round_10_Technical,Round_10,Technicals,Handshakes,Star_Bakers
Rahul,M,30,Research scientist,Rotherham,7,SAFE,2,Showstopper,SB,4,,SB,4,,HIGH,3,Signature,HIGH,3,Signature,HIGH,1,,HIGH,5,LOW,4,LOW,2,WINNER,1,3,2
Kim-Joy,F,27,Mental health specialist,Leeds,10,SAFE,4,,SAFE,10,,SAFE,6,,SAFE,4,Signature,SB,5,,SAFE,6,Signature,SB,2,LOW,2,HIGH,1,Runner-up,1,2,2
Ruby,F,29,Project manager,London,1,LOW,10,Showstopper,SAFE,7,,SAFE,2,,SAFE,1,,SAFE,7,Signature,HIGH,3,,LOW,3,SB,1,SB,3,Runner-up,3,2,2
Briony,F,33,Stay at home parent,Bristol,2,HIGH,5,,LOW,9,,LOW,5,,LOW,6,,LOW,1,,SB,5,,SAFE,1,HIGH,3,OUT,,,2,0,1
Manon,F,26,Software project manager,London,3,SB,6,,SAFE,3,,SAFE,8,,SAFE,5,Signature,SAFE,4,,LOW,2,,SAFE,4,OUT,,,,,0,1,1
Jon,M,47,Blood courier,Newport,5,SAFE,1,,HIGH,2,,SAFE,3,Signature,HIGH,7,,LOW,2,,SAFE,4,,OUT,,,,,,,1,1,0
Dan,M,36,Stay at home parent,London,4,SAFE,3,Signature,HIGH,6,Signature,HIGH,1,Signature,SB,2,,SAFE,6,,OUT,,,,,,,,,,1,3,1
Karen,F,60,In-store sampling assistant,Wakefield,6,SAFE,11,,SAFE,5,,SAFE,7,,LOW,9,,OUT,,,,,,,,,,,,,0,0,0
Terry,M,56,Retired air steward,West Midlands,9,LOW,8,,LOW,1,,SAFE,NA,,SAFE*,8,,OUT,,,,,,,,,,,,,1,0,0
Antony,M,30,Banker,London,12,SAFE,9,,SAFE,8,,OUT,,,,,,,,,,,,,,,,,,,0,0,0
Luke,M,30,Civil servant/house and techno DJ,Sheffield,8,SAFE,7,,OUT,,,,,,,,,,,,,,,,,,,,,,0,0,0
Imelda,F,33,Countryside recreation officer,County Tyrone,11,OUT,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
